Licence_ID,Licence_Type,Issue_Date,Expiry_Date,Status,County,Wheelchair_Accessible,Vehicle_Age,Vehicle_Plate_Year,Driver_Experience_Years,Fleet_Segment,Is_Wheelchair_Accessible,Vehicle_Age_Band,Licence_Duration_Days,Days_To_Expiry,Is_Expiring_90_Days,Complaints,Escalations,Avg_Days_To_Resolution,Inspections,Failures,Follow_Ups,Failure_Rate,Enforcement_Actions
SPSV_00001,TAXI,2018-07-15,2025-07-13,LAPSED,WESTMEATH,NO,1,1970-01-01 00:00:00.000002024,1970-01-01 00:00:00.000000002,REGIONAL,0,0-2,2555,-901,0,4.0,1.0,12.25,3.0,0.0,0.0,0.0,0.0
SPSV_00002,LIMOUSINE,2025-01-30,2026-01-30,EXPIRING,OFFALY,NO,7,1970-01-01 00:00:00.000002019,1970-01-01 00:00:00.000000011,REGIONAL,0,6-10,365,-700,0,7.0,1.0,22.0,4.0,1.0,0.0,0.25,1.0
SPSV_00003,HACKNEY,2023-07-21,2027-12-31,ACTIVE,MEATH,NO,11,1970-01-01 00:00:00.000002014,1970-01-01 00:00:00.000000008,REGIONAL,0,11+,1624,0,1,5.0,1.0,12.4,5.0,1.0,1.0,0.2,0.0
SPSV_00004,TAXI,2019-08-25,2024-08-23,LAPSED,KILKENNY,NO,1,1970-01-01 00:00:00.000002024,1970-01-01 00:00:00.000000006,REGIONAL,0,0-2,1825,-1225,0,5.0,2.0,20.6,5.0,0.0,0.0,0.0,0.0
SPSV_00005,TAXI,2023-07-16,2027-12-31,ACTIVE,GALWAY,NO,7,1970-01-01 00:00:00.000002018,1970-01-01 00:00:00.000000013,URBAN,0,6-10,1629,0,1,3.0,0.0,9.333333333333334,3.0,0.0,1.0,0.0,0.0
SPSV_00006,TAXI,2023-09-25,2025-09-24,LAPSED,MEATH,YES,6,1970-01-01 00:00:00.000002019,1970-01-01 00:00:00.000000003,REGIONAL,1,6-10,730,-828,0,3.0,0.0,19.0,3.0,1.0,1.0,0.3333333333333333,1.0
SPSV_00007,TAXI,2019-04-14,2022-04-13,LAPSED,CAVAN,NO,9,1970-01-01 00:00:00.000002015,1970-01-01 00:00:00.000000005,REGIONAL,0,6-10,1095,-2088,0,1.0,0.0,5.0,3.0,1.0,1.0,0.3333333333333333,1.0
SPSV_00008,HACKNEY,2023-07-14,2027-12-31,ACTIVE,DONEGAL,NO,2,1970-01-01 00:00:00.000002024,1970-01-01 00:00:00.000000002,REGIONAL,0,0-2,1631,0,1,1.0,0.0,35.0,2.0,0.0,0.0,0.0,0.0
SPSV_00009,TAXI,2021-07-06,2025-07-05,LAPSED,WATERFORD,NO,3,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000001,URBAN,0,3-5,1460,-909,0,3.0,0.0,19.0,5.0,3.0,3.0,0.6,3.0
SPSV_00010,HACKNEY,2021-04-23,2026-04-22,EXPIRING,MAYO,NO,3,1970-01-01 00:00:00.000002023,1970-01-01 00:00:00.000000003,REGIONAL,0,3-5,1825,-618,0,4.0,0.0,12.5,2.0,2.0,2.0,1.0,1.0
