Complaint_ID,Licence_ID,Complaint_Type,Date_Received,Resolved,Days_To_Resolution,Escalated
CMP_000001,SPSV_02362,REFUSAL OF HIRE,2025-05-12,YES,17.0,NO
CMP_000002,SPSV_04709,OVERCHARGING,2022-05-25,NO,14.0,NO
CMP_000003,SPSV_01411,OTHER,2024-07-26,NO,14.0,NO
CMP_000004,SPSV_02886,CONDUCT,2024-12-16,NO,14.0,NO
CMP_000005,SPSV_00134,CONDUCT,2022-01-08,YES,19.0,YES
CMP_000006,SPSV_01879,OVERCHARGING,2025-02-08,YES,15.0,NO
CMP_000007,SPSV_01540,OVERCHARGING,2023-04-02,YES,9.0,NO
CMP_000008,SPSV_01283,CONDUCT,2022-11-03,YES,12.0,NO
CMP_000009,SPSV_03421,NO SHOW,2025-09-30,NO,14.0,NO
CMP_000010,SPSV_00299,CONDUCT,2025-11-26,YES,8.0,NO
CMP_000011,SPSV_03591,NO SHOW,2022-02-17,YES,109.0,NO
CMP_000012,SPSV_01994,OVERCHARGING,2024-11-03,NO,14.0,NO
CMP_000013,SPSV_02281,ACCESSIBILITY,2025-04-12,YES,12.0,NO
CMP_000014,SPSV_01567,NO SHOW,2023-04-19,YES,12.0,NO
CMP_000015,SPSV_01710,CONDUCT,2022-04-16,NO,14.0,YES
CMP_000016,SPSV_03819,VEHICLE SAFETY,2024-10-31,YES,10.0,NO
CMP_000017,SPSV_04346,ACCESSIBILITY,2024-10-06,YES,16.0,NO
CMP_000018,SPSV_00793,CONDUCT,2025-09-09,YES,53.0,NO
CMP_000019,SPSV_02689,CONDUCT,2024-11-22,YES,8.0,NO
CMP_000020,SPSV_02897,OTHER,2024-06-02,YES,24.0,NO
CMP_000021,SPSV_04270,OTHER,2023-10-03,YES,21.0,NO
CMP_000022,SPSV_04845,ACCESSIBILITY,2025-09-21,YES,17.0,NO
CMP_000023,SPSV_04041,REFUSAL OF HIRE,2023-02-20,YES,20.0,NO
CMP_000024,SPSV_01816,CONDUCT,2024-11-03,YES,5.0,YES
CMP_000025,SPSV_00979,VEHICLE SAFETY,2022-07-04,YES,43.0,NO
CMP_000026,SPSV_00109,REFUSAL OF HIRE,2024-08-05,YES,5.0,NO
CMP_000027,SPSV_03404,REFUSAL OF HIRE,2024-04-06,YES,20.0,NO
CMP_000028,SPSV_01852,OTHER,2025-01-24,YES,10.0,NO
CMP_000029,SPSV_00732,OTHER,2024-04-14,YES,6.0,NO
CMP_000030,SPSV_01857,VEHICLE SAFETY,2022-06-01,YES,14.0,NO
CMP_000031,SPSV_03105,OVERCHARGING,2023-02-19,NO,14.0,NO
CMP_000032,SPSV_01614,CONDUCT,2024-04-24,YES,8.0,NO
CMP_000033,SPSV_01802,ACCESSIBILITY,2025-08-16,YES,6.0,NO
CMP_000034,SPSV_03236,OVERCHARGING,2022-10-14,NO,14.0,YES
CMP_000035,SPSV_03523,OTHER,2025-10-29,YES,8.0,NO
CMP_000036,SPSV_00581,ACCESSIBILITY,2025-02-09,YES,35.0,NO
CMP_000037,SPSV_00042,CONDUCT,2022-08-25,NO,14.0,NO
CMP_000038,SPSV_01892,NO SHOW,2022-11-18,NO,14.0,YES
CMP_000039,SPSV_03847,CONDUCT,2025-11-15,YES,5.0,NO
CMP_000040,SPSV_04341,ACCESSIBILITY,2022-07-08,YES,25.0,NO
CMP_000041,SPSV_03861,OTHER,2025-12-10,YES,17.0,NO
CMP_000042,SPSV_01053,CONDUCT,2025-08-14,YES,20.0,NO
CMP_000043,SPSV_01121,OVERCHARGING,2024-09-14,NO,14.0,NO
CMP_000044,SPSV_03568,OTHER,2022-12-16,YES,19.0,NO
CMP_000045,SPSV_02756,OVERCHARGING,2025-05-10,NO,14.0,YES
CMP_000046,SPSV_02128,OTHER,2024-06-21,YES,4.0,NO
CMP_000047,SPSV_00368,CONDUCT,2022-11-06,YES,10.0,NO
CMP_000048,SPSV_00881,REFUSAL OF HIRE,2023-05-19,YES,12.0,NO
CMP_000049,SPSV_04425,OVERCHARGING,2024-10-18,NO,14.0,NO
CMP_000050,SPSV_04203,VEHICLE SAFETY,2023-06-28,YES,31.0,NO
CMP_000051,SPSV_01866,OVERCHARGING,2023-05-06,NO,14.0,NO
CMP_000052,SPSV_00608,OTHER,2024-10-02,NO,14.0,YES
CMP_000053,SPSV_01815,NO SHOW,2024-07-06,YES,22.0,NO
CMP_000054,SPSV_01349,CONDUCT,2022-11-23,YES,6.0,NO
CMP_000055,SPSV_01623,OVERCHARGING,2022-04-25,YES,64.0,NO
CMP_000056,SPSV_01137,NO SHOW,2025-09-19,NO,14.0,NO
CMP_000057,SPSV_02461,OVERCHARGING,2025-04-26,YES,7.0,NO
CMP_000058,SPSV_00475,OVERCHARGING,2022-07-19,YES,51.0,NO
CMP_000059,SPSV_04163,CONDUCT,2022-03-17,YES,6.0,NO
CMP_000060,SPSV_04494,OVERCHARGING,2025-01-27,YES,22.0,YES
CMP_000061,SPSV_01262,VEHICLE SAFETY,2024-02-09,YES,17.0,NO
CMP_000062,SPSV_01751,OVERCHARGING,2024-01-11,NO,14.0,NO
CMP_000063,SPSV_03667,OVERCHARGING,2025-09-02,YES,10.0,NO
CMP_000064,SPSV_03034,REFUSAL OF HIRE,2024-10-10,YES,38.0,NO
CMP_000065,SPSV_04224,OTHER,2024-04-29,YES,8.0,NO
CMP_000066,SPSV_02889,VEHICLE SAFETY,2024-12-19,NO,14.0,NO
CMP_000067,SPSV_00011,REFUSAL OF HIRE,2025-05-18,YES,4.0,NO
CMP_000068,SPSV_00709,ACCESSIBILITY,2025-11-14,NO,14.0,YES
CMP_000069,SPSV_04558,CONDUCT,2025-04-03,YES,8.0,NO
CMP_000070,SPSV_02472,NO SHOW,2022-10-24,YES,73.0,NO
CMP_000071,SPSV_01880,OVERCHARGING,2024-06-28,YES,23.0,NO
CMP_000072,SPSV_02528,ACCESSIBILITY,2023-01-05,YES,22.0,NO
CMP_000073,SPSV_03926,REFUSAL OF HIRE,2025-09-07,NO,14.0,NO
CMP_000074,SPSV_00945,CONDUCT,2023-10-06,YES,8.0,YES
CMP_000075,SPSV_00676,VEHICLE SAFETY,2025-04-17,NO,14.0,YES
CMP_000076,SPSV_01083,REFUSAL OF HIRE,2025-07-15,NO,14.0,NO
CMP_000077,SPSV_00476,OVERCHARGING,2024-10-26,NO,14.0,YES
CMP_000078,SPSV_00005,VEHICLE SAFETY,2025-08-14,YES,9.0,NO
CMP_000079,SPSV_02631,REFUSAL OF HIRE,2024-11-11,NO,14.0,YES
CMP_000080,SPSV_03883,VEHICLE SAFETY,2022-09-16,YES,17.0,NO
CMP_000081,SPSV_02683,CONDUCT,2024-11-15,NO,14.0,NO
CMP_000082,SPSV_03760,REFUSAL OF HIRE,2024-12-17,YES,9.0,NO
CMP_000083,SPSV_01889,VEHICLE SAFETY,2022-07-25,NO,14.0,NO
CMP_000084,SPSV_01636,CONDUCT,2022-09-21,YES,7.0,NO
CMP_000085,SPSV_01965,REFUSAL OF HIRE,2025-10-15,YES,7.0,NO
CMP_000086,SPSV_04869,REFUSAL OF HIRE,2025-04-05,YES,12.0,NO
CMP_000087,SPSV_00134,CONDUCT,2024-07-28,YES,9.0,NO
CMP_000088,SPSV_02912,ACCESSIBILITY,2023-09-22,YES,18.0,NO
CMP_000089,SPSV_01066,NO SHOW,2022-06-02,NO,14.0,NO
CMP_000090,SPSV_02934,OTHER,2023-02-16,YES,11.0,NO
