Enforcement_ID,Licence_ID,Action_Type,Action_Date,Outcome
ENF_000001,SPSV_01329,SUSPENSION,2023-03-02,COMPLIED
ENF_000002,SPSV_03075,SUSPENSION,2023-12-12,COMPLIED
ENF_000003,SPSV_04887,WARNING,2023-03-03,COMPLIED
ENF_000004,SPSV_00388,WARNING,2023-02-03,PENDING
ENF_000005,SPSV_04406,WARNING,2022-07-16,COMPLIED
ENF_000006,SPSV_01818,SUSPENSION,2025-01-28,COMPLIED
ENF_000007,SPSV_00378,WARNING,2022-12-19,COMPLIED
ENF_000008,SPSV_01801,WARNING,2025-03-27,COMPLIED
ENF_000009,SPSV_03238,SUSPENSION,2025-04-14,COMPLIED
ENF_000010,SPSV_01975,SUSPENSION,2025-03-18,COMPLIED
ENF_000011,SPSV_02591,FINE,2023-08-04,PENDING
ENF_000012,SPSV_01760,FINE,2025-01-24,APPEALED
ENF_000013,SPSV_03460,WARNING,2023-09-12,COMPLIED
ENF_000014,SPSV_04994,FINE,2024-11-18,COMPLIED
ENF_000015,SPSV_00458,WARNING,2025-04-01,APPEALED
ENF_000016,SPSV_00052,FINE,2024-11-29,COMPLIED
ENF_000017,SPSV_03804,FINE,2022-11-08,COMPLIED
ENF_000018,SPSV_04777,FINE,2024-08-19,COMPLIED
ENF_000019,SPSV_04687,WARNING,2023-09-20,PENDING
ENF_000020,SPSV_04763,SUSPENSION,2023-10-08,APPEALED
ENF_000021,SPSV_03938,SUSPENSION,2024-06-02,COMPLIED
ENF_000022,SPSV_01877,FINE,2024-01-22,COMPLIED
ENF_000023,SPSV_01329,SUSPENSION,2025-07-12,COMPLIED
ENF_000024,SPSV_01582,FINE,2023-11-15,COMPLIED
ENF_000025,SPSV_00749,WARNING,2025-01-12,APPEALED
ENF_000026,SPSV_03588,FINE,2025-06-30,COMPLIED
ENF_000027,SPSV_00647,FINE,2023-10-06,PENDING
ENF_000028,SPSV_02796,FINE,2025-07-24,NOT UPHELD
ENF_000029,SPSV_04193,WARNING,2024-01-14,COMPLIED
ENF_000030,SPSV_01756,EDUCATION/ADVISORY,2024-08-30,COMPLIED
ENF_000031,SPSV_04863,WARNING,2023-06-21,PENDING
ENF_000032,SPSV_01440,WARNING,2023-10-20,COMPLIED
ENF_000033,SPSV_04233,WARNING,2023-09-02,COMPLIED
ENF_000034,SPSV_00154,WARNING,2025-12-27,COMPLIED
ENF_000035,SPSV_03009,SUSPENSION,2022-02-21,COMPLIED
ENF_000036,SPSV_02148,SUSPENSION,2024-01-14,COMPLIED
ENF_000037,SPSV_03236,EDUCATION/ADVISORY,2022-05-18,COMPLIED
ENF_000038,SPSV_03010,WARNING,2022-05-15,PENDING
ENF_000039,SPSV_03365,FINE,2024-02-09,APPEALED
ENF_000040,SPSV_04544,REVOCATION,2025-09-29,APPEALED
ENF_000041,SPSV_03982,WARNING,2022-10-19,COMPLIED
ENF_000042,SPSV_00576,WARNING,2023-03-14,COMPLIED
ENF_000043,SPSV_03065,WARNING,2023-08-02,NOT UPHELD
ENF_000044,SPSV_04404,WARNING,2023-02-03,COMPLIED
ENF_000045,SPSV_00697,WARNING,2022-01-23,COMPLIED
