Inspection_ID,Licence_ID,Inspection_Date,Inspection_Type,Outcome,Breach_Category,Follow_Up_Required
INSP_000001,SPSV_03046,2025-03-04,ROUTINE,PASS,NAN,NO
INSP_000002,SPSV_04499,2025-09-08,ROUTINE,PASS,NAN,NO
INSP_000003,SPSV_01529,2022-04-09,TARGETED,FAIL,SAFETY,YES
INSP_000004,SPSV_04610,2025-08-07,ROUTINE,PASS,NAN,NO
INSP_000005,SPSV_01034,2024-02-07,ROUTINE,PASS,NAN,NO
INSP_000006,SPSV_04567,2024-04-28,FOLLOW-UP,FAIL,SAFETY,NO
INSP_000007,SPSV_02846,2024-04-04,ROUTINE,PASS,NAN,NO
INSP_000008,SPSV_00736,2025-12-03,ROUTINE,FAIL,DOCUMENTATION,YES
INSP_000009,SPSV_02157,2022-08-26,ROUTINE,PASS,NAN,NO
INSP_000010,SPSV_04124,2023-03-07,ROUTINE,PASS,NAN,NO
INSP_000011,SPSV_02611,2022-04-15,ROUTINE,PASS,NAN,NO
INSP_000012,SPSV_03443,2025-10-02,ROUTINE,PASS,NAN,NO
INSP_000013,SPSV_04309,2025-08-17,ROUTINE,FAIL,SAFETY,YES
INSP_000014,SPSV_03709,2023-02-01,ROUTINE,PASS,NAN,NO
INSP_000015,SPSV_02829,2025-05-04,ROUTINE,PASS,NAN,NO
INSP_000016,SPSV_04250,2024-03-16,ROUTINE,PASS,NAN,NO
INSP_000017,SPSV_02920,2022-02-02,ROUTINE,PASS,NAN,NO
INSP_000018,SPSV_00158,2023-09-02,TARGETED,PASS,NAN,NO
INSP_000019,SPSV_02342,2025-08-16,ROUTINE,PASS,NAN,NO
INSP_000020,SPSV_03438,2024-06-06,ROUTINE,FAIL,INSURANCE,YES
INSP_000021,SPSV_02832,2023-05-16,TARGETED,PASS,NAN,NO
INSP_000022,SPSV_04718,2025-11-14,FOLLOW-UP,PASS,NAN,NO
INSP_000023,SPSV_02282,2024-06-10,ROUTINE,PASS,NAN,NO
INSP_000024,SPSV_04919,2022-04-13,ROUTINE,FAIL,ACCESSIBILITY,NO
INSP_000025,SPSV_02225,2024-05-07,ROUTINE,PASS,NAN,NO
INSP_000026,SPSV_00639,2025-08-07,ROUTINE,PASS,NAN,NO
INSP_000027,SPSV_02640,2025-09-07,ROUTINE,PASS,NAN,NO
INSP_000028,SPSV_00052,2024-10-18,ROUTINE,FAIL,ACCESSIBILITY,NO
INSP_000029,SPSV_04913,2025-03-25,TARGETED,PASS,NAN,NO
INSP_000030,SPSV_01472,2022-03-04,ROUTINE,PASS,NAN,NO
INSP_000031,SPSV_00330,2022-04-05,ROUTINE,PASS,NAN,NO
INSP_000032,SPSV_03666,2025-06-03,TARGETED,PASS,NAN,NO
INSP_000033,SPSV_00785,2023-03-09,TARGETED,PASS,NAN,NO
INSP_000034,SPSV_00296,2023-08-25,ROUTINE,PASS,NAN,NO
INSP_000035,SPSV_00346,2022-06-02,ROUTINE,PASS,NAN,NO
INSP_000036,SPSV_02202,2023-06-24,ROUTINE,PASS,NAN,NO
INSP_000037,SPSV_02280,2025-07-23,ROUTINE,PASS,NAN,NO
INSP_000038,SPSV_02380,2024-06-14,ROUTINE,PASS,NAN,NO
INSP_000039,SPSV_01506,2023-01-25,ROUTINE,PASS,NAN,NO
INSP_000040,SPSV_03875,2022-06-30,TARGETED,PASS,NAN,NO
INSP_000041,SPSV_04475,2024-06-20,COMPLAINT-LED,PASS,NAN,NO
INSP_000042,SPSV_03448,2025-12-17,ROUTINE,FAIL,SAFETY,YES
