Licence_ID,Licence_Type,Issue_Date,Expiry_Date,Status,County,Wheelchair_Accessible,Vehicle_Age,Vehicle_Plate_Year,Driver_Experience_Years,Fleet_Segment
SPSV_00001,TAXI,2018-07-15,2025-07-13,LAPSED,WESTMEATH,NO,1,1970-01-01 00:00:00.000002024,1970-01-01 00:00:00.000000002,REGIONAL
SPSV_00002,LIMOUSINE,2025-01-30,2026-01-30,EXPIRING,OFFALY,NO,7,1970-01-01 00:00:00.000002019,1970-01-01 00:00:00.000000011,REGIONAL
SPSV_00003,HACKNEY,2023-07-21,2027-12-31,ACTIVE,MEATH,NO,11,1970-01-01 00:00:00.000002014,1970-01-01 00:00:00.000000008,REGIONAL
SPSV_00004,TAXI,2019-08-25,2024-08-23,LAPSED,KILKENNY,NO,1,1970-01-01 00:00:00.000002024,1970-01-01 00:00:00.000000006,REGIONAL
SPSV_00005,TAXI,2023-07-16,2027-12-31,ACTIVE,GALWAY,NO,7,1970-01-01 00:00:00.000002018,1970-01-01 00:00:00.000000013,URBAN
SPSV_00006,TAXI,2023-09-25,2025-09-24,LAPSED,MEATH,YES,6,1970-01-01 00:00:00.000002019,1970-01-01 00:00:00.000000003,REGIONAL
SPSV_00007,TAXI,2019-04-14,2022-04-13,LAPSED,CAVAN,NO,9,1970-01-01 00:00:00.000002015,1970-01-01 00:00:00.000000005,REGIONAL
SPSV_00008,HACKNEY,2023-07-14,2027-12-31,ACTIVE,DONEGAL,NO,2,1970-01-01 00:00:00.000002024,1970-01-01 00:00:00.000000002,REGIONAL
SPSV_00009,TAXI,2021-07-06,2025-07-05,LAPSED,WATERFORD,NO,3,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000001,URBAN
SPSV_00010,HACKNEY,2021-04-23,2026-04-22,EXPIRING,MAYO,NO,3,1970-01-01 00:00:00.000002023,1970-01-01 00:00:00.000000003,REGIONAL
SPSV_00011,TAXI,2020-10-23,2027-10-22,ACTIVE,FINGAL,NO,2,1970-01-01 00:00:00.000002022,1970-01-01 00:00:00.000000003,URBAN
SPSV_00012,LIMOUSINE,2017-05-28,2020-05-27,LAPSED,LAOIS,NO,4,1970-01-01 00:00:00.000002022,1970-01-01 00:00:00.000000003,REGIONAL
SPSV_00013,HACKNEY,2018-02-11,2023-02-10,LAPSED,LIMERICK,NO,0,1970-01-01 00:00:00.000002025,1970-01-01 00:00:00.000000007,URBAN
SPSV_00014,TAXI,2020-12-18,2025-12-17,LAPSED,MEATH,NO,8,1970-01-01 00:00:00.000002017,1970-01-01 00:00:00.000000007,REGIONAL
SPSV_00015,TAXI,2018-06-17,2020-06-16,LAPSED,LIMERICK,YES,6,1970-01-01 00:00:00.000002018,1970-01-01 00:00:00.000000000,URBAN
SPSV_00016,TAXI,2021-08-24,2023-08-24,LAPSED,KILKENNY,NO,0,1970-01-01 00:00:00.000002024,1970-01-01 00:00:00.000000011,REGIONAL
SPSV_00017,TAXI,2024-02-17,2027-12-31,ACTIVE,CLARE,NO,1,1970-01-01 00:00:00.000002024,1970-01-01 00:00:00.000000000,REGIONAL
SPSV_00018,TAXI,2023-04-18,2027-04-17,ACTIVE,WEXFORD,NO,4,1970-01-01 00:00:00.000002020,1970-01-01 00:00:00.000000000,REGIONAL
SPSV_00019,TAXI,2021-09-15,2026-09-14,ACTIVE,TIPPERARY,NO,2,1970-01-01 00:00:00.000002022,1970-01-01 00:00:00.000000013,REGIONAL
SPSV_00020,TAXI,2024-03-21,2026-03-21,EXPIRING,KILDARE,YES,14,1970-01-01 00:00:00.000002012,1970-01-01 00:00:00.000000002,REGIONAL
SPSV_00021,TAXI,2023-08-29,2027-12-31,ACTIVE,MAYO,NO,6,1970-01-01 00:00:00.000002020,1970-01-01 00:00:00.000000009,REGIONAL
SPSV_00022,TAXI,2018-01-19,2019-01-19,LAPSED,KILKENNY,YES,1,1970-01-01 00:00:00.000002025,1970-01-01 00:00:00.000000005,REGIONAL
SPSV_00023,TAXI,2023-07-05,2027-12-31,ACTIVE,KILDARE,NO,0,1970-01-01 00:00:00.000002024,1970-01-01 00:00:00.000000002,REGIONAL
SPSV_00024,TAXI,2025-03-27,2027-12-31,ACTIVE,TIPPERARY,YES,4,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,REGIONAL
