Month,County,Inspections,Failures,Follow_Ups,Complaints,Escalations,Failure_Rate
2022-01-01,CAVAN,14,2,1,13,2,0.1428571428571428
2022-01-01,CLARE,23,4,4,13,1,0.1739130434782608
2022-01-01,CORK,12,1,1,11,2,0.0833333333333333
2022-01-01,DONEGAL,15,4,3,18,4,0.2666666666666666
2022-01-01,DUBLIN CITY,18,5,4,12,2,0.2777777777777778
2022-01-01,DÚN LAOGHAIRE-RATHDOWN,18,3,2,13,1,0.1666666666666666
2022-01-01,FINGAL,17,5,6,13,5,0.2941176470588235
2022-01-01,GALWAY,24,2,1,17,1,0.0833333333333333
2022-01-01,KERRY,18,3,3,20,3,0.1666666666666666
2022-01-01,KILDARE,17,1,0,8,0,0.0588235294117647
2022-01-01,KILKENNY,21,6,6,13,4,0.2857142857142857
2022-01-01,LAOIS,22,3,2,11,0,0.1363636363636363
2022-01-01,LIMERICK,18,7,5,17,2,0.3888888888888889
2022-01-01,LOUTH,13,3,2,14,2,0.2307692307692307
2022-01-01,MAYO,12,1,1,15,4,0.0833333333333333
2022-01-01,MEATH,14,1,0,6,2,0.0714285714285714
2022-01-01,MONAGHAN,21,4,3,15,1,0.1904761904761904
2022-01-01,OFFALY,16,3,3,17,2,0.1875
2022-01-01,SLIGO,14,5,5,12,1,0.3571428571428571
2022-01-01,SOUTH DUBLIN,26,5,4,16,1,0.1923076923076923
2022-01-01,TIPPERARY,16,8,4,13,0,0.5
2022-01-01,WATERFORD,16,2,2,14,3,0.125
2022-01-01,WESTMEATH,16,4,2,15,2,0.25
2022-01-01,WEXFORD,11,1,0,11,2,0.0909090909090909
2022-01-01,WICKLOW,18,6,3,23,4,0.3333333333333333
2022-02-01,CAVAN,14,2,3,13,2,0.1428571428571428
2022-02-01,CLARE,18,5,4,12,2,0.2777777777777778
2022-02-01,CORK,12,1,0,19,4,0.0833333333333333
2022-02-01,DONEGAL,16,1,1,13,2,0.0625
2022-02-01,DUBLIN CITY,20,6,4,10,0,0.3
2022-02-01,DÚN LAOGHAIRE-RATHDOWN,11,2,2,11,3,0.1818181818181818
2022-02-01,FINGAL,18,2,2,20,1,0.1111111111111111
2022-02-01,GALWAY,16,4,3,8,1,0.25
2022-02-01,KERRY,13,5,4,15,2,0.3846153846153846
2022-02-01,KILDARE,17,4,2,16,2,0.2352941176470588
2022-02-01,KILKENNY,17,5,3,18,3,0.2941176470588235
2022-02-01,LAOIS,21,3,2,9,1,0.1428571428571428
2022-02-01,LIMERICK,20,4,4,9,2,0.2
2022-02-01,LOUTH,18,5,4,13,1,0.2777777777777778
2022-02-01,MAYO,22,5,4,8,2,0.2272727272727272
2022-02-01,MEATH,14,4,4,11,2,0.2857142857142857
2022-02-01,MONAGHAN,19,2,2,8,1,0.1052631578947368
2022-02-01,OFFALY,13,1,1,3,1,0.0769230769230769
2022-02-01,SLIGO,11,1,1,10,2,0.0909090909090909
2022-02-01,SOUTH DUBLIN,18,4,2,16,1,0.2222222222222222
2022-02-01,TIPPERARY,20,4,3,9,1,0.2
2022-02-01,WATERFORD,17,4,4,13,0,0.2352941176470588
2022-02-01,WESTMEATH,16,0,0,11,0,0.0
2022-02-01,WEXFORD,12,5,2,11,2,0.4166666666666667
2022-02-01,WICKLOW,13,4,3,11,1,0.3076923076923077
2022-03-01,CAVAN,15,4,3,14,3,0.2666666666666666
2022-03-01,CLARE,15,5,3,11,0,0.3333333333333333
2022-03-01,CORK,13,3,2,12,0,0.2307692307692307
2022-03-01,DONEGAL,17,4,2,14,5,0.2352941176470588
2022-03-01,DUBLIN CITY,21,5,3,15,1,0.238095238095238
2022-03-01,DÚN LAOGHAIRE-RATHDOWN,14,3,2,6,2,0.2142857142857142
2022-03-01,FINGAL,21,5,4,11,2,0.238095238095238
2022-03-01,GALWAY,20,3,2,11,1,0.15
2022-03-01,KERRY,18,4,4,18,3,0.2222222222222222
2022-03-01,KILDARE,17,3,2,11,3,0.1764705882352941
2022-03-01,KILKENNY,10,3,1,12,4,0.3
2022-03-01,LAOIS,15,3,2,17,3,0.2
2022-03-01,LIMERICK,27,8,7,23,4,0.2962962962962963
2022-03-01,LOUTH,12,2,2,9,2,0.1666666666666666
2022-03-01,MAYO,15,5,4,8,0,0.3333333333333333
2022-03-01,MEATH,12,3,2,20,4,0.25
2022-03-01,MONAGHAN,16,3,2,8,1,0.1875
2022-03-01,OFFALY,15,2,2,16,2,0.1333333333333333
2022-03-01,SLIGO,15,4,3,19,2,0.2666666666666666
2022-03-01,SOUTH DUBLIN,21,3,2,11,2,0.1428571428571428
2022-03-01,TIPPERARY,18,0,0,11,1,0.0
2022-03-01,WATERFORD,8,0,0,17,3,0.0
2022-03-01,WESTMEATH,10,2,1,12,1,0.2
2022-03-01,WEXFORD,14,1,0,11,0,0.0714285714285714
2022-03-01,WICKLOW,12,3,3,13,3,0.25
2022-04-01,CAVAN,14,3,2,18,2,0.2142857142857142
2022-04-01,CLARE,17,5,4,10,1,0.2941176470588235
2022-04-01,CORK,13,4,3,17,1,0.3076923076923077
2022-04-01,DONEGAL,12,1,0,15,2,0.0833333333333333
2022-04-01,DUBLIN CITY,20,1,0,14,3,0.05
2022-04-01,DÚN LAOGHAIRE-RATHDOWN,19,4,3,8,2,0.2105263157894736
2022-04-01,FINGAL,13,3,3,16,2,0.2307692307692307
2022-04-01,GALWAY,12,2,1,16,1,0.1666666666666666
2022-04-01,KERRY,11,4,1,15,4,0.3636363636363636
2022-04-01,KILDARE,11,0,0,11,3,0.0
2022-04-01,KILKENNY,17,2,0,10,2,0.1176470588235294
2022-04-01,LAOIS,16,2,1,19,2,0.125
2022-04-01,LIMERICK,20,3,3,11,3,0.15
2022-04-01,LOUTH,10,2,0,12,1,0.2
2022-04-01,MAYO,24,5,3,14,2,0.2083333333333333
2022-04-01,MEATH,12,4,3,13,1,0.3333333333333333
2022-04-01,MONAGHAN,10,1,1,14,2,0.1
2022-04-01,OFFALY,21,3,3,10,3,0.1428571428571428
2022-04-01,SLIGO,20,5,4,11,0,0.25
2022-04-01,SOUTH DUBLIN,19,5,4,11,2,0.2631578947368421
2022-04-01,TIPPERARY,15,7,5,11,1,0.4666666666666667
2022-04-01,WATERFORD,9,3,3,14,3,0.3333333333333333
2022-04-01,WESTMEATH,10,1,0,10,2,0.1
2022-04-01,WEXFORD,24,5,4,12,2,0.2083333333333333
2022-04-01,WICKLOW,18,3,2,10,1,0.1666666666666666
2022-05-01,CAVAN,25,4,2,11,3,0.16
2022-05-01,CLARE,19,3,3,8,1,0.1578947368421052
2022-05-01,CORK,16,4,3,11,2,0.25
2022-05-01,DONEGAL,21,4,4,10,1,0.1904761904761904
2022-05-01,DUBLIN CITY,13,0,0,18,1,0.0
2022-05-01,DÚN LAOGHAIRE-RATHDOWN,9,2,2,10,0,0.2222222222222222
2022-05-01,FINGAL,23,4,3,9,0,0.1739130434782608
2022-05-01,GALWAY,16,5,4,13,2,0.3125
2022-05-01,KERRY,15,0,0,8,0,0.0
2022-05-01,KILDARE,13,6,3,16,3,0.4615384615384615
2022-05-01,KILKENNY,12,2,2,12,2,0.1666666666666666
2022-05-01,LAOIS,15,2,2,11,1,0.1333333333333333
2022-05-01,LIMERICK,14,4,2,11,0,0.2857142857142857
2022-05-01,LOUTH,16,2,1,15,1,0.125
2022-05-01,MAYO,22,2,2,18,3,0.0909090909090909
2022-05-01,MEATH,19,9,3,8,0,0.4736842105263157
2022-05-01,MONAGHAN,13,2,1,9,0,0.1538461538461538
2022-05-01,OFFALY,12,4,2,9,1,0.3333333333333333
2022-05-01,SLIGO,21,9,5,6,1,0.4285714285714285
2022-05-01,SOUTH DUBLIN,13,3,3,7,2,0.2307692307692307
2022-05-01,TIPPERARY,18,5,5,9,0,0.2777777777777778
2022-05-01,WATERFORD,12,1,1,10,2,0.0833333333333333
2022-05-01,WESTMEATH,16,4,4,7,1,0.25
2022-05-01,WEXFORD,20,10,5,7,1,0.5
2022-05-01,WICKLOW,12,2,2,13,2,0.1666666666666666
2022-06-01,CAVAN,11,1,1,11,3,0.0909090909090909
2022-06-01,CLARE,19,1,1,7,1,0.0526315789473684
2022-06-01,CORK,14,3,3,8,1,0.2142857142857142
2022-06-01,DONEGAL,14,1,1,15,2,0.0714285714285714
2022-06-01,DUBLIN CITY,21,6,2,9,0,0.2857142857142857
2022-06-01,DÚN LAOGHAIRE-RATHDOWN,11,0,0,13,1,0.0
2022-06-01,FINGAL,19,3,2,8,0,0.1578947368421052
2022-06-01,GALWAY,18,4,3,23,2,0.2222222222222222
2022-06-01,KERRY,15,1,0,12,4,0.0666666666666666
2022-06-01,KILDARE,19,4,3,14,2,0.2105263157894736
2022-06-01,KILKENNY,23,7,5,12,4,0.3043478260869565
2022-06-01,LAOIS,16,5,3,18,2,0.3125
2022-06-01,LIMERICK,18,4,4,9,1,0.2222222222222222
2022-06-01,LOUTH,15,5,5,17,2,0.3333333333333333
2022-06-01,MAYO,21,1,1,19,2,0.0476190476190476
2022-06-01,MEATH,9,3,2,6,2,0.3333333333333333
2022-06-01,MONAGHAN,14,2,1,15,2,0.1428571428571428
2022-06-01,OFFALY,23,7,5,11,1,0.3043478260869565
2022-06-01,SLIGO,21,3,3,15,1,0.1428571428571428
2022-06-01,SOUTH DUBLIN,13,2,1,18,1,0.1538461538461538
2022-06-01,TIPPERARY,15,4,3,7,1,0.2666666666666666
2022-06-01,WATERFORD,17,5,4,10,1,0.2941176470588235
2022-06-01,WESTMEATH,12,2,1,16,1,0.1666666666666666
2022-06-01,WEXFORD,20,1,0,18,1,0.05
2022-06-01,WICKLOW,22,7,5,10,1,0.3181818181818182
2022-07-01,CAVAN,17,4,3,14,0,0.2352941176470588
2022-07-01,CLARE,17,3,2,17,1,0.1764705882352941
2022-07-01,CORK,17,4,2,9,1,0.2352941176470588
2022-07-01,DONEGAL,22,5,3,8,1,0.2272727272727272
2022-07-01,DUBLIN CITY,12,1,1,8,3,0.0833333333333333
2022-07-01,DÚN LAOGHAIRE-RATHDOWN,15,4,2,10,2,0.2666666666666666
2022-07-01,FINGAL,27,5,3,14,2,0.1851851851851851
2022-07-01,GALWAY,12,3,0,13,1,0.25
2022-07-01,KERRY,24,6,6,16,3,0.25
2022-07-01,KILDARE,16,1,2,11,2,0.0625
2022-07-01,KILKENNY,11,1,0,9,3,0.0909090909090909
2022-07-01,LAOIS,16,2,1,9,1,0.125
2022-07-01,LIMERICK,13,3,3,12,3,0.2307692307692307
2022-07-01,LOUTH,21,3,3,7,0,0.1428571428571428
2022-07-01,MAYO,14,2,1,16,2,0.1428571428571428
2022-07-01,MEATH,23,5,2,6,0,0.217391304347826
2022-07-01,MONAGHAN,21,2,1,12,0,0.0952380952380952
2022-07-01,OFFALY,13,1,1,15,2,0.0769230769230769
2022-07-01,SLIGO,11,2,0,10,0,0.1818181818181818
2022-07-01,SOUTH DUBLIN,10,5,4,14,1,0.5
2022-07-01,TIPPERARY,20,6,5,9,3,0.3
2022-07-01,WATERFORD,11,5,3,7,1,0.4545454545454545
2022-07-01,WESTMEATH,13,2,1,10,0,0.1538461538461538
2022-07-01,WEXFORD,19,5,3,15,3,0.2631578947368421
2022-07-01,WICKLOW,27,4,3,17,3,0.1481481481481481
2022-08-01,CAVAN,19,0,0,9,2,0.0
2022-08-01,CLARE,19,2,2,23,2,0.1052631578947368
2022-08-01,CORK,16,3,2,12,1,0.1875
2022-08-01,DONEGAL,20,3,1,14,1,0.15
2022-08-01,DUBLIN CITY,16,6,4,15,2,0.375
2022-08-01,DÚN LAOGHAIRE-RATHDOWN,15,2,1,11,0,0.1333333333333333
2022-08-01,FINGAL,31,8,5,16,2,0.2580645161290322
2022-08-01,GALWAY,16,4,2,14,3,0.25
