Complaint_ID,Licence_ID,Complaint_Type,Date_Received,Resolved,Days_To_Resolution,Escalated
CMP_000001,SPSV_02362,Refusal of Hire,2025-05-12,Yes,17.0,No
CMP_000002,SPSV_04709,Overcharging,2022-05-25,No,,No
CMP_000003,SPSV_01411,Other,2024-07-26,No,,No
CMP_000004,SPSV_02886,Conduct,2024-12-16,No,,No
CMP_000005,SPSV_00134,Conduct,2022-01-08,Yes,19.0,Yes
CMP_000006,SPSV_01879,Overcharging,2025-02-08,Yes,15.0,No
CMP_000007,SPSV_01540,Overcharging,2023-04-02,Yes,9.0,No
CMP_000008,SPSV_01283,Conduct,2022-11-03,Yes,12.0,No
CMP_000009,SPSV_03421,No Show,2025-09-30,No,,No
CMP_000010,SPSV_00299,Conduct,2025-11-26,Yes,8.0,No
CMP_000011,SPSV_03591,No Show,2022-02-17,Yes,109.0,No
CMP_000012,SPSV_01994,Overcharging,2024-11-03,No,,No
CMP_000013,SPSV_02281,Accessibility,2025-04-12,Yes,12.0,No
CMP_000014,SPSV_01567,No Show,2023-04-19,Yes,12.0,No
CMP_000015,SPSV_01710,Conduct,2022-04-16,No,,Yes
CMP_000016,SPSV_03819,Vehicle Safety,2024-10-31,Yes,10.0,No
CMP_000017,SPSV_04346,Accessibility,2024-10-06,Yes,16.0,No
CMP_000018,SPSV_00793,Conduct,2025-09-09,Yes,53.0,No
CMP_000019,SPSV_02689,Conduct,2024-11-22,Yes,8.0,No
CMP_000020,SPSV_02897,Other,2024-06-02,Yes,24.0,No
CMP_000021,SPSV_04270,Other,2023-10-03,Yes,21.0,No
CMP_000022,SPSV_04845,Accessibility,2025-09-21,Yes,17.0,No
CMP_000023,SPSV_04041,Refusal of Hire,2023-02-20,Yes,20.0,No
CMP_000024,SPSV_01816,Conduct,2024-11-03,Yes,5.0,Yes
CMP_000025,SPSV_00979,Vehicle Safety,2022-07-04,Yes,43.0,No
CMP_000026,SPSV_00109,Refusal of Hire,2024-08-05,Yes,5.0,No
CMP_000027,SPSV_03404,Refusal of Hire,2024-04-06,Yes,20.0,No
CMP_000028,SPSV_01852,Other,2025-01-24,Yes,10.0,No
CMP_000029,SPSV_00732,Other,2024-04-14,Yes,6.0,No
CMP_000030,SPSV_01857,Vehicle Safety,2022-06-01,Yes,NA,No
CMP_000031,SPSV_03105,Overcharging,2023-02-19,No,,No
CMP_000032,SPSV_01614,Conduct,2024-04-24,Yes,8.0,No
CMP_000033,SPSV_01802,Accessibility,2025-08-16,Yes,6.0,No
CMP_000034,SPSV_03236,Overcharging,2022-10-14,No,,Yes
CMP_000035,SPSV_03523,Other,2025-10-29,Yes,8.0,No
CMP_000036,SPSV_00581,Accessibility,2025-02-09,Yes,35.0,No
CMP_000037,SPSV_00042,Conduct,2022-08-25,No,,No
CMP_000038,SPSV_01892,No Show,2022-11-18,No,,Yes
CMP_000039,SPSV_03847,Conduct,2025-11-15,Yes,5.0,No
CMP_000040,SPSV_04341,Accessibility,2022-07-08,Yes,25.0,No
CMP_000041,SPSV_03861,Other,2025-12-10,Yes,17.0,No
CMP_000042,SPSV_01053,Conduct,2025-08-14,Yes,20.0,No
CMP_000043,SPSV_01121,Overcharging,2024-09-14,No,,No
CMP_000044,SPSV_03568,Other,2022-12-16,Yes,19.0,No
CMP_000045,SPSV_02756,Overcharging,2025-05-10,No,,Yes
CMP_000046,SPSV_02128,Other,2024-06-21,Yes,4.0,No
CMP_000047,SPSV_00368,Conduct,2022-11-06,Yes,10.0,No
CMP_000048,SPSV_00881,Refusal of Hire,2023-05-19,Yes,12.0,No
CMP_000049,SPSV_04425,Overcharging,2024-10-18,No,,No
CMP_000050,SPSV_04203,Vehicle Safety,2023-06-28,Yes,31.0,No
CMP_000051,SPSV_01866,Overcharging,2023-05-06,No,,No
CMP_000052,SPSV_00608,Other,2024-10-02,No,,Yes
CMP_000053,SPSV_01815,No Show,2024-07-06,Yes,22.0,No
