Enforcement_ID,Licence_ID,Action_Type,Action_Date,Outcome
ENF_000001,SPSV_01329,Suspension,2023-03-02,Complied
ENF_000002,SPSV_03075,Suspension,2023-12-12,Complied
ENF_000003,SPSV_04887,Warning,2023-03-03,Complied
ENF_000004,SPSV_00388,Warning,2023-02-03,Pending
ENF_000005,SPSV_04406,Warning,2022-07-16,Complied
ENF_000006,SPSV_01818,Suspension,2025-01-28,Complied
ENF_000007,SPSV_00378,Warning,2022-12-19,Complied
ENF_000008,SPSV_01801,Warning,2025-03-27,Complied
ENF_000009,SPSV_03238,Suspension,2025-04-14,Complied
ENF_000010,SPSV_01975,Suspension,2025-03-18,Complied
ENF_000011,SPSV_02591,Fine,2023-08-04,Pending
ENF_000012,SPSV_01760,Fine,2025-01-24,Appealed
ENF_000013,SPSV_03460,Warning,2023-09-12,Complied
ENF_000014,SPSV_04994,Fine,2024-11-18,Complied
ENF_000015,SPSV_00458,Warning,2025-04-01,Appealed
ENF_000016,SPSV_00052,Fine,2024-11-29,Complied
ENF_000017,SPSV_03804,Fine,2022-11-08,Complied
ENF_000018,SPSV_04777,Fine,2024-08-19,Complied
ENF_000019,SPSV_04687,Warning,2023-09-20,Pending
ENF_000020,SPSV_04763,Suspension,2023-10-08,Appealed
ENF_000021,SPSV_03938,Suspension,2024-06-02,Complied
ENF_000022,SPSV_01877,Fine,2024-01-22,Complied
ENF_000023,SPSV_01329,Suspension,2025-07-12,Complied
ENF_000024,SPSV_01582,Fine,2023-11-15,Complied
ENF_000025,SPSV_00749,Warning,2025-01-12,Appealed
ENF_000026,SPSV_03588,Fine,2025-06-30,Complied
ENF_000027,SPSV_00647,Fine,2023-10-06,Pending
ENF_000028,SPSV_02796,Fine,2025-07-24,Not Upheld
ENF_000029,SPSV_04193,Warning,2024-01-14,Complied
ENF_000030,SPSV_01756,Education/Advisory,2024-08-30,Complied
ENF_000031,SPSV_04863,Warning,2023-06-21,Pending
ENF_000032,SPSV_01440,Warning,2023-10-20,Complied
ENF_000033,SPSV_04233,Warning,2023-09-02,Complied
ENF_000034,SPSV_00154,Warning,2025-12-27,Complied
ENF_000035,SPSV_03009,Suspension,2022-02-21,Complied
ENF_000036,SPSV_02148,Suspension,2024-01-14,Complied
ENF_000037,SPSV_03236,Education/Advisory,2022-05-18,Complied
ENF_000038,SPSV_03010,Warning,2022-05-15,Pending
ENF_000039,SPSV_03365,Fine,2024-02-09,Appealed
ENF_000040,SPSV_04544,Revocation,2025-09-29,Appealed
ENF_000041,SPSV_03982,Warning,2022-10-19,Complied
ENF_000042,SPSV_00576,Warning,2023-03-14,Complied
ENF_000043,SPSV_03065,Warning,2023-08-02,Not Upheld
ENF_000044,SPSV_04404,Warning,2023-02-03,Complied
ENF_000045,SPSV_00697,Warning,2022-01-23,Complied
ENF_000046,SPSV_01282,Suspension,2024-10-08,Appealed
ENF_000047,SPSV_04103,Warning,2025-04-06,Complied
ENF_000048,SPSV_00159,Suspension,2024-07-07,Pending
ENF_000049,SPSV_03077,Fine,2022-03-07,Pending
ENF_000050,SPSV_01578,Warning,2022-07-01,Appealed
