Inspection_ID,Licence_ID,Inspection_Date,Inspection_Type,Outcome,Breach_Category,Follow_Up_Required
INSP_000001,SPSV_03046,2025-03-04,Routine,Pass,None,No
INSP_000002,SPSV_04499,2025-09-08,Routine,Pass,None,No
INSP_000003,SPSV_01529,2022-04-09,Targeted,Fail,Safety,Yes
INSP_000004,SPSV_04610,2025-08-07,Routine,Pass,None,No
INSP_000005,SPSV_01034,2024-02-07,Routine,Pass,None,No
INSP_000006,SPSV_04567,2024-04-28,Follow-Up,Fail,Safety,No
INSP_000007,SPSV_02846,2024-04-04,Routine,Pass,None,No
INSP_000008,SPSV_00736,2025-12-03,Routine,Fail,Documentation,Yes
INSP_000009,SPSV_02157,2022-08-26,Routine,Pass,None,No
INSP_000010,SPSV_04124,2023-03-07,Routine,Pass,None,No
INSP_000011,SPSV_02611,2022-04-15,Routine,Pass,None,No
INSP_000012,SPSV_03443,2025-10-02,Routine,Pass,None,No
INSP_000013,SPSV_04309,2025-08-17,Routine,Fail,Safety,Yes
INSP_000014,SPSV_03709,2023-02-01,Routine,Pass,None,No
INSP_000015,SPSV_02829,2025-05-04,Routine,Pass,None,No
INSP_000016,SPSV_04250,2024-03-16,Routine,Pass,None,No
INSP_000017,SPSV_02920,2022-02-02,Routine,Pass,None,No
INSP_000018,SPSV_00158,2023-09-02,Targeted,Pass,None,No
INSP_000019,SPSV_02342,2025-08-16,Routine,Pass,None,No
INSP_000020,SPSV_03438,2024-06-06,Routine,Fail,Insurance,Yes
INSP_000021,SPSV_02832,2023-05-16,Targeted,Pass,None,No
INSP_000022,SPSV_04718,2025-11-14,Follow-Up,Pass,None,No
INSP_000023,SPSV_02282,2024-06-10,Routine,Pass,None,No
INSP_000024,SPSV_04919,2022-04-13,Routine,Fail,Accessibility,No
INSP_000025,SPSV_02225,2024-05-07,Routine,Pass,None,No
INSP_000026,SPSV_00639,2025-08-07,Routine,Pass,None,No
INSP_000027,SPSV_02640,2025-09-07,Routine,Pass,None,No
INSP_000028,SPSV_00052,2024-10-18,Routine,Fail,Accessibility,No
INSP_000029,SPSV_04913,2025-03-25,Targeted,Pass,None,No
INSP_000030,SPSV_01472,2022-03-04,Routine,Pass,None,No
INSP_000031,SPSV_00330,2022-04-05,Routine,Pass,None,No
INSP_000032,SPSV_03666,2025-06-03,Targeted,Pass,None,No
INSP_000033,SPSV_00785,2023-03-09,Targeted,Pass,None,No
INSP_000034,SPSV_00296,2023-08-25,Routine,Pass,None,No
INSP_000035,SPSV_00346,2022-06-02,Routine,Pass,None,No
INSP_000036,SPSV_02202,2023-06-24,Routine,Pass,None,No
INSP_000037,SPSV_02280,2025-07-23,Routine,Pass,None,No
INSP_000038,SPSV_02380,2024-06-14,Routine,Pass,None,No
INSP_000039,SPSV_01506,2023-01-25,Routine,Pass,None,No
INSP_000040,SPSV_03875,2022-06-30,Targeted,Pass,None,No
INSP_000041,SPSV_04475,2024-06-20,Complaint-Led,Pass,None,No
INSP_000042,SPSV_03448,2025-12-17,Routine,Fail,Safety,Yes
INSP_000043,SPSV_01995,2023-05-07,Routine,Fail,Safety,Yes
INSP_000044,SPSV_00568,2024-05-07,Routine,Pass,None,No
INSP_000045,SPSV_03957,2024-11-22,Routine,Pass,None,No
INSP_000046,SPSV_00030,2025-02-17,Follow-Up,Fail,Documentation,Yes
INSP_000047,SPSV_03501,2025-10-25,Follow-Up,Pass,None,No
INSP_000048,SPSV_03659,2024-01-20,Follow-Up,Pass,None,No
INSP_000049,SPSV_02542,2023-10-06,Follow-Up,Pass,None,No
INSP_000050,SPSV_02612,2023-09-23,Routine,Pass,None,No
INSP_000051,SPSV_03268,2025-10-20,Targeted,Fail,Safety,Yes
INSP_000052,SPSV_03895,2022-06-22,Targeted,Pass,None,No
INSP_000053,SPSV_03210,2025-01-22,Routine,Pass,None,No
INSP_000054,SPSV_00694,2022-07-02,Routine,Pass,None,No
INSP_000055,SPSV_02043,2023-12-09,Routine,Pass,None,No
INSP_000056,SPSV_03874,2022-05-20,Follow-Up,Fail,Insurance,Yes
INSP_000057,SPSV_04767,2025-09-12,Routine,Pass,None,No
INSP_000058,SPSV_02752,2023-12-30,Complaint-Led,Fail,Other,Yes
INSP_000059,SPSV_01504,2024-02-08,Routine,Pass,None,No
INSP_000060,SPSV_00178,2022-04-10,Routine,Pass,None,No
