Licence_ID,Licence_Type,Issue_Date,Expiry_Date,Status,County,Wheelchair_Accessible,Vehicle_Age,Vehicle_Plate_Year,Driver_Experience_Years,Fleet_Segment
SPSV_00001,Taxi,2018-07-15,2025-07-13,Lapsed,Westmeath,No,1,2024,2,Regional
SPSV_00002,Limousine,2025-01-30,2026-01-30,Expiring,Offaly,No,7,2019,11,Regional
SPSV_00003,Hackney,2023-07-21,2027-12-31,Active,Meath,No,11,2014,8,Regional
SPSV_00004,Taxi,2019-08-25,2024-08-23,Lapsed,Kilkenny,No,1,2024,6,Regional
SPSV_00005,Taxi,2023-07-16,2027-12-31,Active,Galway,No,7,2018,13,Urban
SPSV_00006,Taxi,2023-09-25,2025-09-24,Lapsed,Meath,Yes,6,2019,3,Regional
SPSV_00007,Taxi,2019-04-14,2022-04-13,Lapsed,Cavan,No,9,2015,5,Regional
SPSV_00008,Hackney,2023-07-14,2027-12-31,Active,Donegal,No,2,2024,2,Regional
SPSV_00009,Taxi,2021-07-06,2025-07-05,Lapsed,Waterford,No,3,2021,1,Urban
SPSV_00010,Hackney,2021-04-23,2026-04-22,Expiring,Mayo,No,3,2023,3,Regional
SPSV_00011,Taxi,2020-10-23,2027-10-22,Active,Fingal,No,2,2022,3,Urban
SPSV_00012,Limousine,2017-05-28,2020-05-27,Lapsed,Laois,No,4,2022,3,Regional
SPSV_00013,Hackney,2018-02-11,2023-02-10,Lapsed,Limerick,No,0,2025,7,Urban
SPSV_00014,Taxi,2020-12-18,2025-12-17,Lapsed,Meath,No,8,2017,7,Regional
SPSV_00015,Taxi,2018-06-17,2020-06-16,Lapsed,Limerick,Yes,6,2018,0,Urban
SPSV_00016,Taxi,2021-08-24,2023-08-24,Lapsed,Kilkenny,No,0,2024,11,Regional
SPSV_00017,Taxi,2024-02-17,2027-12-31,Active,Clare,No,1,2024,0,Regional
SPSV_00018,Taxi,2023-04-18,2027-04-17,Active,Wexford,No,4,2020,0,Regional
SPSV_00019,Taxi,2021-09-15,2026-09-14,Active,Tipperary,No,2,2022,13,Regional
SPSV_00020,Taxi,2024-03-21,2026-03-21,Expiring,Kildare,Yes,14,2012,2,Regional
SPSV_00021,Taxi,2023-08-29,2027-12-31,Active,Mayo,No,6,2020,9,Regional
SPSV_00022,Taxi,2018-01-19,2019-01-19,Lapsed,Kilkenny,Yes,1,2025,5,Regional
SPSV_00023,Taxi,2023-07-05,2027-12-31,Active,Kildare,No,0,2024,2,Regional
SPSV_00024,Taxi,2025-03-27,2027-12-31,Active,Tipperary,Yes,4,2021,2,Regional
SPSV_00025,Taxi,2019-10-03,2021-10-02,Lapsed,Kildare,No,4,2021,9,Regional
SPSV_00026,Hackney,2017-03-18,2019-03-18,Lapsed,Monaghan,No,3,2022,3,Regional
SPSV_00027,Taxi,2020-05-20,2026-05-19,Expiring,South Dublin,No,2,2023,13,Urban
